slug,id,name,category,pricefrom,price,unit,shortdesc,description,image,pricetables_json
lin,lin,Линь,v-nalichii-i-pod-zakaz,от 84 руб.,84,кг,"Пресноводная рыба с плотным мясом и высокой живучестью, хорошо приживается в прудах и озёрах.","Если в пруду нету этой рыбы, то считается, что пруд не состоялся. Линь - единственная рыба, которая носит на своей слизи живой антибиотик, полезный для других рыб и для всей флоры и фауны в пруду.

Линь – рыба семейства карповых, один из самых неприхотливых видов рыбы для пруда. Линь является рыбой высшего сорта. 
Он достигает длины до 60 см, веса – до 8 кг. Он очень легко нерестится в любых, даже очень маленьких прудах. Клев начинается после нереста, в мае – июле. В это время линь достигает своего наибольшего размера.

Питается личинками насекомых, червями, моллюсками и растительной пищей. Окраска линя зависит от цвета воды и может быть от желтой до темно-коричневой.",/images/fish/Lin/Линь.png,"[{""title"":""Линек мелкий от 84 руб./шт.\nРазмер от 7 см."",""rows"":[{""volume"":""От 500 шт"",""price"":""84 руб.""},{""volume"":""От 300 шт"",""price"":""94 руб.""},{""volume"":""От 100 шт"",""price"":""100 руб.""},{""volume"":""От 50 шт"",""price"":""120 руб.""},{""volume"":""От 10 шт"",""price"":""150 руб.""}]},{""title"":""Оптовая цена от 1.030 руб./кг.\nРазмер 15-51 см.\nВес 0,25-2 кг"",""rows"":[{""volume"":""От 300 кг"",""price"":""1.030 руб.""},{""volume"":""От 200 кг"",""price"":""1.385 руб.""},{""volume"":""От 100 кг"",""price"":""2.070 руб.""}]}]"
belyy-amur,belyy-amur,Белый амур,v-nalichii-i-pod-zakaz,от 29 руб.,29,кг,"Растительноядная рыба, эффективно очищающая водоёмы от избыточной растительности.","Белый амур — пресноводная рыба семейства карповых. Амур – полезная рыба для пруда, поскольку он помогает контролировать рост водных растений в водоемах. Эта рыба обитает в пресных озерах и прудах, питается водорослями и водными растениями.

Амур популярен среди рыболовов из-за своих размеров и изысканного вкуса.Имеет удлиненное тело с гладкой чешуей, окраска обычно серебристая или серовато-зеленая. Взрослые особи могут достигать длины до 120 см, а веса – до 30 кг.

Это невероятно сильная и мощная рыба, поймать которую под силу только богатырям!",/images/fish/BelyiAmur/Белыиамур.png,"[{""title"":""Розничная цена от 29 руб./шт.\nРазмер от 7 см."",""rows"":[{""volume"":""От 500 шт"",""price"":""29 руб.""},{""volume"":""От 100 шт"",""price"":""49 руб.""},{""volume"":""До 50 шт"",""price"":""60 руб.""},{""volume"":""До 10 шт"",""price"":""99 руб.""}]},{""title"":""Оптовая цена от 950 руб./кг.\nРазмер 18-90 см, 0,15-10 кг."",""rows"":[{""volume"":""От 300 кг"",""price"":""950 руб.""},{""volume"":""От 200 кг"",""price"":""1050 руб.""},{""volume"":""От 100 кг"",""price"":""1200 руб.""}]}]"
tolstolobik,tolstolobik,Толстолобик,v-nalichii-i-pod-zakaz,от 39 руб.,39,кг,"Крупная быстрорастущая рыба, питающаяся фитопланктоном и улучшающая качество воды.","Толстолобик – пресноводная рыба семейства карповых. Эту рыбу называют «живым фильтром», так как она очищает воду от зеленого планктона. Несмотря на то, что эта рыба среднего размера, взрослые особи могут достигать длины до 1 метра и веса до 20 кг. 

Толстолобик имеет красивый серебристый цвет и очень мелкую чешую.
Он прекрасно себя чувствует рядом с другими видами рыб, вырастая до внушительных размеров, а также помогает содержать водоем в чистоте.",/images/fish/Tolstolobik/Толстолобик.png,"[{""title"":""Розничная цена от 39 руб./шт.\nРазмер от 7 см."",""rows"":[{""volume"":""От 300 шт"",""price"":""39 руб.""},{""volume"":""От 100 шт"",""price"":""59 руб.""},{""volume"":""От 50 шт"",""price"":""75 руб.""},{""volume"":""От 10 шт"",""price"":""90 руб.""}]},{""title"":""Оптовая цена от 550 руб./кг.\nРазмер от 30 см, вес от 0,25-6 кг."",""rows"":[{""volume"":""От 300 кг"",""price"":""550 руб.""},{""volume"":""От 200 кг"",""price"":""690 руб.""},{""volume"":""От 100 кг"",""price"":""890 руб.""}]}]"
zerkalnyy-karp,zerkalnyy-karp,Зеркальный карп,v-nalichii-i-pod-zakaz,от 29 руб.,29,кг,Прудовая форма карпа с крупной редкой чешуёй и быстрым набором массы.,"Зеркальный карп – разновидность карпа, окультуренный сазан. От обычного карпа зеркальный отличается своей чешуей. Именно она, а точнее практически полное ее отсутствие, делает зеркального карпа таким уникальным. 2-3 полосы крупной чешуи, проходящие по бокам, выделяются и переливаются на свету.

Зеркальный карп крупнее обычного, взрослая особь может достигать 1-1,5 м и весить до 25 кг! Карп очень быстро растет, а его мясо жирное и очень вкусное.",/images/fish/ZerkalnyiKarp/Зеркальныикарп.png,"[{""title"":""Розничная цена от 29 руб./шт.\nРазмер от 7 см."",""rows"":[{""volume"":""От 500 шт"",""price"":""29 руб.""},{""volume"":""От 100 шт"",""price"":""49 руб.""},{""volume"":""От 50 шт"",""price"":""60 руб.""},{""volume"":""От 10 шт"",""price"":""89 руб.""}]},{""title"":""Оптовая цена от 800 руб./кг.\nРазмер 18-130 см, 0,15-6 кг."",""rows"":[{""volume"":""От 500 кг"",""price"":""800 руб.""},{""volume"":""От 300 кг"",""price"":""950 руб.""},{""volume"":""От 200 кг"",""price"":""1050 руб.""},{""volume"":""От 100 кг"",""price"":""1200 руб.""}]}]"
karp,karp,Карп,v-nalichii-i-pod-zakaz,от 29 руб.,29,кг,Популярная пресноводная рыба для разведения и рыбалки с отличными вкусовыми качествами.,"Карп – пресноводная рыба семейства карповых, одомашненная прудовая форма сазана. Удлиненное тело покрыто крупной чешуей, обычно золотисто-бурого цвета. Эта рыба всеядна. Взрослые особи могут достигать длины до 1 метра и веса до 30-35 кг, хотя средний вес молодого карпа около 5 кг.
Карп – не только вкусная рыба, но еще и сильная, поэтому его ловля доставляет рыболовам массу положительных эмоций",/images/fish/Karp/Карп.png,"[{""title"":""Розничная цена от 29 руб./шт.\nРазмер от 7 см."",""rows"":[{""volume"":""От 100 шт"",""price"":""29 руб.""},{""volume"":""До 100 шт"",""price"":""59 руб.""},{""volume"":""До 10 шт"",""price"":""89 руб.""}]}]"
sazan,sazan,Сазан,v-nalichii-i-pod-zakaz,от 29 руб.,29,кг,Дикая форма карпа с вытянутым телом и высокой выносливостью.,"Сазан (дикий карп) – пресноводная рыба семейства карповых; является предком карпа. Средний вес сазана обычно не превышает 5 кг, но некоторые особи могут весить до 15 кг. Эта рыба имеет сжатое с боков тело и крупную чешую темно-желтого цвета. Сазан – стайная рыба, живущая в старых протоках, глубоких ямах и спокойных реках.

В отличие от карпа, клюёт круглый год, но зимою клев всё-таки хуже, чем в тёплое время года. Ловля сазана – очень увлекательное занятие, требующее усилий и выдержки.

Рыбалка становится интересной из-за того, что сазан – рыба очень хитрая и считается самой умной в МИРЕ",/images/fish/Sazan/Сазан.png,"[{""title"":""Розничная цена от 29 руб./шт.\nРазмер от 7 см."",""rows"":[{""volume"":""От 500 шт"",""price"":""29 руб.""},{""volume"":""От 100 шт"",""price"":""49 руб.""},{""volume"":""От 50 шт"",""price"":""60 руб.""},{""volume"":""От 10 шт"",""price"":""89 руб.""}]},{""title"":""Оптовая цена от 950 руб./кг.\nРазмер 18-90 см, 0,15-10 кг."",""rows"":[{""volume"":""От 300 кг"",""price"":""950 руб.""},{""volume"":""От 200 кг"",""price"":""1050 руб.""},{""volume"":""От 100 кг"",""price"":""1200 руб.""}]}]"
krasnoperka,krasnoperka,Красноперка,v-nalichii-i-pod-zakaz,от 399 руб.,399,кг,"Небольшая рыба с яркими плавниками, предпочитающая спокойные заросшие водоёмы.","Красноперка относится к семейству карповых и внешне напоминает плотву. Она отличается золотистой чешуей, огненно-красными плавниками и оранжевыми глазами. Эта яркая рыбка украсит и прекрасно разнообразит ваш пруд.

Красноперка – некрупная рыба, длина ее около 20 см, обычный вес 200-300 г. Эти рыбки яркими стайками плавают у берегов, а летом держатся в средних слоях воды. Особенность красноперки для рыболовов состоит в том, что ее несложно поймать практически в любую погоду и в любое время. Красноперка –невероятная вкусная и интересная рыбка.",/images/fish/Krasnoperka/Красноперка.png,"[{""title"":""Оптовая цена от 399 руб./кг.\nДлина от 5 см.\nВес от 10 гр."",""rows"":[{""volume"":""От 300 кг"",""price"":""399 руб.""},{""volume"":""От 100 кг"",""price"":""489 руб.""}]}]"
plotva,plotva,Плотва,v-nalichii-i-pod-zakaz,от 700 руб.,700,кг,"Распространённая стайная рыба, ценимая в любительской рыбалке.","Плотва - вид лучепёрых рыб из семейства карповых.Плотва считается некрупной рыбой, чаще всего вырастают особи 30-45 см с весом до 2 кг. Этот вид рыбы неплохо переносит воды с низким содержанием кислорода. Плотва любит теплую воду. 

Это невероятно красивая рыбка с яркими плавниками. В основном она питается моллюсками, червями и водорослями. Плотва хорошо себя чувствует рядом с карасём, лещëм и линëм. 

Эта резвая рыбка украсит и разнообразит ваш пруд.",/images/fish/Plotva/Плотва.png,"[{""title"":""Оптовая цена от 700 руб./кг.\nДлина от 12-37 см.\nВес 40 гр.- 850 гр."",""rows"":[{""volume"":""От 300 кг"",""price"":""700 руб.""},{""volume"":""От 100 кг"",""price"":""1850 руб.""}]}]"
vyun,vyun,Вьюн,v-nalichii-i-pod-zakaz,от 80 руб.,80,кг,"Небольшая донная рыба, способная выживать при низком содержании кислорода.","Вьюн – пресноводная рыбка семейства вьюновых. Эти рыбы отличаются своим удлиненным телом длиной от 15 до 30 см, покрытым слизью. Чешуя вьюна очень мелкая, а зачастую и вовсе отсутствует; цвет тела варьируется от серого до зеленовато-коричневого. 

Особенность вьюна – это его живучесть. Он может дышать не только жабрами, но и кожей и кишечником. Также он чутко реагирует на изменение атмосферного давления, за что его называют живым барометром.",/images/fish/Viyn/Вьюн.png,"[{""title"":""Розничная цена от 80 руб./шт.\nДлина от 13 см."",""rows"":[{""volume"":""От 100 шт"",""price"":""80 руб.""},{""volume"":""От 10 шт"",""price"":""100 руб.""}]}]"
ukleyka,ukleyka,Уклейка,v-nalichii-i-pod-zakaz,от 449 руб.,449,кг,"Подвижная стайная рыба с серебристой чешуёй, обитающая в верхних слоях воды.","Уклейка – мелкая рыбка семейства карповых. Она достигает длины 4-15 см и веса 10-30 г. Уклейка поедает личинки кусачих комаров, а также всякую мелкую мошкару и мух, которые кружат у поверхности воды и кусают людей. С этой рыбкой около вашего пруда станет гораздо меньше надоедливых насекомых, появится комфорт. 

Также уклейка является кормовой базой для хищных видов рыб, особенно для окуня и судака. Когда окунь или судак начинает охоту на уклеек, то те в свою очередь начинают выпрыгивать из воды. Зрелище очень красивое, весь пруд будто оживает. 

Для роста уклейку можно кормить крупным плавающим комбикормом. Рыбки подплывают к самой поверхности воды и активно поедают корм. Уклейка прекрасно оживляет пруд!",/images/fish/Ukleika/Уклеика.png,"[{""title"":""Оптовая цена от 449 руб./кг.\nДлина от 6-15 см.\nВес 8-22 гр."",""rows"":[{""volume"":""От 300 кг"",""price"":""449 руб.""},{""volume"":""От 100 кг"",""price"":""519 руб.""},{""volume"":""От 30 кг"",""price"":""649 руб.""}]}]"
